"ORG_ID","ORG_URL","ORG_DESCRIPTIONDU","ORG_DATECREATION","ORG_CODEDU","ORG_CODEFR","ORG_DATEUPDATE","ORG_USERCREATION","ORG_DESCRIPTIONEN","ORG_CODEEN","ORG_USERUPDATE","ORG_DESCRIPTIONFR","ORG_ORGT_ID"
52,"www.forest.irisnet.be","GEMEENTE VORST",14/02/07,"GEMEENTE VORST","COMMUNE DE FOREST",25/04/07,"PGERARD","MUNICIPALITY OF FOREST","MUNICIPALITY OF FOREST","GDEROEP","COMMUNE DE FOREST",
53,"www.ganshoren.be","GEMEENTE GANSHOREN",14/02/07,"GEMEENTE GANSHOREN","COMMUNE  DE GANSHOREN",25/04/07,"PGERARD","MUNICIPALITY OF GANSHOREN","MUNICIPALITY OF GANSHOREN","GDEROEP","COMMUNE  DE GANSHOREN",
54,"www.elsene.irisnet.be","GEMEENTE ELSENE",14/02/07,"GEMEENTE ELSENE","COMMUNE D'IXELLES",25/04/07,"PGERARD","MUNICIPALITY OF IXELLES","MUNICIPALITY OF IXELLES","GDEROEP","COMMUNE D'IXELLES",
55,"www.jette.be","GEMEENTE JETTE",14/02/07,"GEMEENTE JETTE","COMMUNE DE JETTE",25/04/07,"PGERARD","MUNICIPALITY OF JETTE","MUNICIPALITY OF JETTE","GDEROEP","COMMUNE DE JETTE",
56,"www.koekelberg.be","GEMEENTE KOEKELBERG",14/02/07,"GEMEENTE KOEKELBERG","COMMUNE DE KOEKELBERG",25/04/07,"PGERARD","MUNICIPALITY OF  KOEKELBERG","MUNICIPALITY OF  KOEKELBERG","GDEROEP","COMMUNE DE KOEKELBERG",
57,"www.molenbeek.be","GEMEENTE MOLENBEEK",14/02/07,"GEMEENTE MOLENBEEK","COMMUNE DE MOLENBEEK",25/04/07,"PGERARD","MUNICIPALITY OF MOLENBEEK","MUNICIPALITY OF MOLENBEEK","GDEROEP","COMMUNE DE MOLENBEEK",
58,"www.stgilles.irisnet.be","GEMEENTE SINT-GILLES",14/02/07,"GEMEENTE SINT-GILLIS","COMMUNE DE SAINT-GILLES",25/04/07,"PGERARD","MUNICIPALITY OF SAINT-GILLES","MUNICIPALITY OF SAINT-GILLES","GDEROEP","COMMUNE DE SAINT-GILLES",
59,"www.auderghem.be","GEMEENTE OUDERGEM",14/02/07,"GEMEENTE OUDERGEM","COMMUNE D'AUDERGHEM",25/04/07,"PGERARD","MUNICIPALITY OF AUDERGEHM","MUNICIPALITY OF AUDERGHEM","GDEROEP","COMMUNE D'AUDERGHEM",
60,"www.berchem.irisnet.be","GEMEENTE SINT-AGATHA-BERCHEM",14/02/07,"GEMEENTE SINT-AGATHA-BERCHEM","COMMUNE DE BERCHEM-SAINTE-AGATHE",25/04/07,"PGERARD","MUNICIPALITY OF BERCHEM-SAINTE-AGATHE","COMMUNE DE BERCHEM-SAINTE-AGATHE","GDEROEP","COMMUNE DE BERCHEM-SAINTE-AGATHE",
61,"www.brucity.be","STAD BRUSSEL",14/02/07,"STAD BRUSSEL","VILLE DE BRUXELLES",25/04/07,"PGERARD","CITY OF BRUSSELS","CITY OF BRUSSELS","GDEROEP","VILLE DE BRUXELLES",
62,"www.evere.be","GEMEENTE EVERE",14/02/07,"GEMEENTE EVERE","COMMUNE D'EVERE",25/04/07,"PGERARD","MUNICIPALITY OF EVERE","MUNICIPALITY OF EVERE","GDEROEP","COMMUNE D'EVERE",
63,"www.etterbeek.irisnet.be","GEMEENTE ETTERBEEK",14/02/07,"GEMEENTE ETTERBEEK","COMMUNE D'ETTERBEEK",25/04/07,"PGERARD","MUNICIPALITY OF ETTERBEEK","MUNICIPALITY OF ETTERBEEK","GDEROEP","COMMUNE D'ETTERBEEK",
66,"","BRUSPACE",12/08/08,"BRUSPACE","BRUSPACE",,"PGERARD","BRUSPACE","BRUSPACE","","BRUSPACE",
